timestamp,soft_xray_flux,hard_xray_flux,soft_bg_subtracted,hard_bg_subtracted,source
2026-06-20T12:13:01Z,34.0,2.0,31.0,2.0,aditya
2026-06-20T12:13:02Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:13:03Z,26.0,16.0,23.0,16.0,aditya
2026-06-20T12:13:04Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:13:05Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:13:06Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:13:07Z,30.0,5.0,27.0,5.0,aditya
2026-06-20T12:13:08Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:13:09Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:13:10Z,40.0,1.0,37.0,1.0,aditya
2026-06-20T12:13:11Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:13:12Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:13:13Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:13:14Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:13:15Z,41.0,19.0,38.0,19.0,aditya
2026-06-20T12:13:16Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:13:17Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:13:18Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:13:19Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:13:20Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:13:21Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:13:22Z,33.0,5.0,30.0,5.0,aditya
2026-06-20T12:13:23Z,29.0,9.0,26.0,9.0,aditya
2026-06-20T12:13:24Z,26.0,0.0,23.0,0.0,aditya
2026-06-20T12:13:25Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:13:26Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:13:27Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:13:28Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:13:29Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:13:30Z,29.0,8.0,26.0,8.0,aditya
2026-06-20T12:13:31Z,36.0,7.0,33.0,7.0,aditya
2026-06-20T12:13:32Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:13:33Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:13:34Z,43.0,0.0,40.0,0.0,aditya
2026-06-20T12:13:35Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:13:36Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:13:37Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:13:38Z,34.0,10.0,31.0,10.0,aditya
2026-06-20T12:13:39Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:13:40Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:13:41Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:13:42Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:13:43Z,26.0,0.0,23.0,0.0,aditya
2026-06-20T12:13:44Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:13:45Z,40.0,15.0,37.0,15.0,aditya
2026-06-20T12:13:46Z,21.0,0.0,18.0,0.0,aditya
2026-06-20T12:13:47Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:13:48Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:13:49Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:13:50Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:13:51Z,39.0,0.0,36.0,0.0,aditya
2026-06-20T12:13:52Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:13:53Z,18.0,0.0,15.0,0.0,aditya
2026-06-20T12:13:54Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:13:55Z,26.0,11.0,23.0,11.0,aditya
2026-06-20T12:13:56Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:13:57Z,21.0,0.0,18.0,0.0,aditya
2026-06-20T12:13:58Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:13:59Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:14:00Z,17.0,0.0,14.0,0.0,aditya
2026-06-20T12:14:01Z,26.0,7.0,23.0,7.0,aditya
2026-06-20T12:14:02Z,32.0,1.0,29.0,1.0,aditya
2026-06-20T12:14:03Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:14:04Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:14:05Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:14:06Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:14:07Z,26.0,0.0,23.0,0.0,aditya
2026-06-20T12:14:08Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:14:09Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:14:10Z,31.0,5.0,28.0,5.0,aditya
2026-06-20T12:14:11Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:14:12Z,41.0,0.0,38.0,0.0,aditya
2026-06-20T12:14:13Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:14:14Z,22.0,0.0,19.0,0.0,aditya
2026-06-20T12:14:15Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:14:16Z,16.0,0.0,13.0,0.0,aditya
2026-06-20T12:14:17Z,30.0,3.0,27.0,3.0,aditya
2026-06-20T12:14:18Z,31.0,3.0,28.0,3.0,aditya
2026-06-20T12:14:19Z,35.0,0.0,32.0,0.0,aditya
2026-06-20T12:14:20Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:14:21Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:14:22Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:14:23Z,38.0,0.0,35.0,0.0,aditya
2026-06-20T12:14:24Z,29.0,2.0,26.0,2.0,aditya
2026-06-20T12:14:25Z,24.0,3.0,21.0,3.0,aditya
2026-06-20T12:14:26Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:14:27Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:14:28Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:14:29Z,20.0,0.0,17.0,0.0,aditya
2026-06-20T12:14:30Z,27.0,0.0,24.0,0.0,aditya
2026-06-20T12:14:31Z,26.0,0.0,23.0,0.0,aditya
2026-06-20T12:14:32Z,19.0,0.0,16.0,0.0,aditya
2026-06-20T12:14:33Z,21.0,8.0,18.0,8.0,aditya
2026-06-20T12:14:34Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:14:35Z,29.0,0.0,26.0,0.0,aditya
2026-06-20T12:14:36Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:14:37Z,18.0,0.0,15.0,0.0,aditya
2026-06-20T12:14:38Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:14:39Z,31.0,0.0,28.0,0.0,aditya
2026-06-20T12:14:40Z,37.0,0.0,34.0,0.0,aditya
2026-06-20T12:14:41Z,29.0,11.0,26.0,11.0,aditya
2026-06-20T12:14:42Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:14:43Z,42.0,0.0,39.0,0.0,aditya
2026-06-20T12:14:44Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:14:45Z,39.0,0.0,36.0,0.0,aditya
2026-06-20T12:14:46Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:14:47Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:14:48Z,37.0,4.0,34.0,4.0,aditya
2026-06-20T12:14:49Z,39.0,0.0,36.0,0.0,aditya
2026-06-20T12:14:50Z,43.0,0.0,40.0,0.0,aditya
2026-06-20T12:14:51Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:14:52Z,36.0,0.0,33.0,0.0,aditya
2026-06-20T12:14:53Z,39.0,0.0,36.0,0.0,aditya
2026-06-20T12:14:54Z,30.0,0.0,27.0,0.0,aditya
2026-06-20T12:14:55Z,33.0,0.0,30.0,0.0,aditya
2026-06-20T12:14:56Z,40.0,0.0,37.0,0.0,aditya
2026-06-20T12:14:57Z,28.0,16.0,25.0,16.0,aditya
2026-06-20T12:14:58Z,25.0,0.0,22.0,0.0,aditya
2026-06-20T12:14:59Z,28.0,0.0,25.0,0.0,aditya
2026-06-20T12:15:00Z,32.0,0.0,29.0,0.0,aditya
2026-06-20T12:15:01Z,43.0,0.0,40.0,0.0,aditya
2026-06-20T12:15:02Z,34.0,0.0,31.0,0.0,aditya
2026-06-20T12:15:03Z,23.0,0.0,20.0,0.0,aditya
2026-06-20T12:15:04Z,35.0,9.0,32.0,9.0,aditya
2026-06-20T12:15:05Z,38.0,0.0,35.0,0.0,aditya
